priority,suggested_action,company,file,domain,current_email,current_status,cohort_tags,site_finding,fallback_inbox,notes
B1,KEEP existing email as primary; verified site inbox available as fallback,LaGallera,past,lagallera.ec,produccion@lagallera.ec,(none),_reactivationMode,kept_existing(fallback=valeria@lagallera.ec),valeria@lagallera.ec,
B1,KEEP existing email as primary; verified site inbox available as fallback,Martillo Media,past,martillomedia.com,pmuniz@martillomedia.com,(none),_reactivationMode,kept_existing(fallback=contacto@martillomedia.com),contacto@martillomedia.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,Media Branders,past,mediabranders.com,sebastian@mediabranders.com,(none),_reactivationMode,kept_existing(fallback=info@mediabranders.com),info@mediabranders.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,Nitido Productora Audiovisual,past,nitidoproductora.com,guillermo@nitidoproductora.com,(none),_reactivationMode,kept_existing(fallback=contacto@nitidoproductora.com),contacto@nitidoproductora.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,Pampa Films,past,pampafilms.com.ar,cabe.bossi@pampafilms.com.ar,(none),_reactivationMode,kept_existing(fallback=info@pampafilms.com.ar),info@pampafilms.com.ar,
B1,KEEP existing email as primary; verified site inbox available as fallback,Panorámica Films,2026-05-27,panoramicafilms.com,christian@panoramicafilms.com.mx,(none),_recoveredFrom,kept_existing(fallback=contact@panoramicafilms.com),contact@panoramicafilms.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,Voilà Estudios,2026-05-27,voilaestudios.com,alvaro@voilaestudios.com,(none),_revivedFromPilot,kept_existing(fallback=contacto@voilaestudios.com),contacto@voilaestudios.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,Voilà Estudios,past,voilaestudios.com,alvaro@voilaestudios.com,(none),_revivedFromPilot,kept_existing(fallback=contacto@voilaestudios.com),contacto@voilaestudios.com,
B2,KEEP existing email; Apollo-verify (no site confirmation),Brodaju,past,brodaju.com.co,rene@brodaju.com,(none),_reactivationMode,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),CBRA Films,past,cbrafilms.com,cristobal@cbrafilms.com,(none),_reactivationMode,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Doin Media,past,doinmedia.com,carolina.guerrero@doinmedia.com,(none),_reactivationMode,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Fósforo Cinema,2026-05-27,fosforo.video,fernando@fosforo.video,(none),_recoveredFrom,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),HUAU,past,huau.cl,arturo@huau.cl,(none),_reactivationMode,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Kuarzo,2026-05-27,kuarzo.com,ffalce@kuarzo.com,(none),_revivedFromPilot,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),La Villa Producciones,past,lavillaproducciones.com,juliopachongonzalez@yahoo.com,(none),_reactivationMode,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Magma Cine,past,magmacine.com.ar,nat@magmacine.com.ar,(none),_reactivationMode,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Minded Factory,2026-05-27,mindedfactory.com,david@mindedfactory.com,(none),_revivedFromPilot,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Misil Producciones,past,misilproducciones.com,misilproducciones@gmail.com,(none),_reactivationMode,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Morena Films,past,morenafilms.com,morenafilms@morenafilms.com,(none),_reactivationMode,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Mun Films,2026-05-27,munfilms.com,pau@munfilms.com,(none),_revivedFromPilot,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Torneos,2026-05-27,torneos.com,maximiliano.cabrera@torneos.com,(none),_revivedFromPilot,kept_existing(unverified),,
B2,KEEP existing email; Apollo-verify (no site confirmation),Underground Producciones,2026-05-27,undergroundproducciones.com,underground@nbcuni.com,(none),_revivedFromPilot,kept_existing(unverified),,
C1,TRIAGE — generic inbox unconfirmed; consider DM hunt / alt channel,Cinebrand,past,cinebrand.es,contacto@cinebrand.es,(none),_reactivationMode,no_verified_email,,
C1,TRIAGE — generic inbox unconfirmed; consider DM hunt / alt channel,Happy Monster,past,ahappymonster.com,hola@ahappymonster.com,(none),_reactivationMode,no_verified_email,,
C1,TRIAGE — generic inbox unconfirmed; consider DM hunt / alt channel,Intelygente,past,intelygente.net,info@intelygente.net,(none),_reactivationMode,no_verified_email,,
C1,TRIAGE — generic inbox unconfirmed; consider DM hunt / alt channel,New Walk Productions,past,newwalkproductions.com,info@newwalkproductions.com,(none),_reactivationMode,no_verified_email,,
D1,ALREADY verified earlier — no action,Aqua Films,past,aquafilms.com.ar,,no_deliverable_email_domain_rebranded,_reactivationMode,already_processed:no_deliverable_email_domain_rebranded,,
D1,ALREADY verified earlier — no action,ChileRayo,past,chilerayo.com,contacto@chilerayo.com,website_published,_reactivationMode,already_processed:website_published,,
D1,ALREADY verified earlier — no action,Grappi Multimedia,past,grappi.cl,,no_verified_email,_reactivationMode,already_processed:no_verified_email,,
D1,ALREADY verified earlier — no action,LINKVIDS,2026-05-27,linkvids.io,martin.pons@linkvids.io,verified,_revivedFromPilot,already_processed:verified,,
D1,ALREADY verified earlier — no action,StoryLab Argentina,past,storylab.com.ar,nv@storylab.com.ar,verified,_reactivationMode,already_processed:verified,,
D1,ALREADY verified earlier — no action,Sunomono Films,2026-05-27,sunomonofilms.com,produccion@sunomonofilms.com,verified,_revivedFromPilot,already_processed:verified,,
D1,ALREADY verified earlier — no action,VPro Video,2026-05-27,vprovideo.com,,no_email_use_whatsapp,_revivedFromPilot,already_processed:no_email_use_whatsapp,,
